Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Product_Category,Product_Name,Sales,Quantity,Profit,Year,Month,Month_Name
ORD100024,2021-10-04,CUST8378,Home Office,East,Technology,Tablet,11068.13,1,-862.5,2021,10,October
ORD100025,2024-03-30,CUST9849,Consumer,South,Furniture,Printer,12488.96,3,1093.11,2024,3,March
ORD100026,2022-04-05,CUST4667,Home Office,South,Furniture,Phone,3974.93,13,2730.32,2022,4,April
ORD100027,2024-08-30,CUST1576,Consumer,Central,Technology,Laptop,14466.96,11,3268.57,2024,8,August
ORD100028,2021-01-22,CUST5779,Consumer,Central,Office Supplies,Tablet,3862.58,1,1533.64,2021,1,January
ORD100029,2021-09-10,CUST9187,Corporate,South,Technology,Monitor,8861.18,7,-1600.91,2021,9,September
ORD100030,2023-01-18,CUST3972,Corporate,West,Furniture,Pen,10036.63,3,3609.57,2023,1,January
ORD100031,2023-05-07,CUST8756,Consumer,East,Furniture,Laptop,8317.44,1,4033.56,2023,5,May
ORD100032,2022-04-20,CUST4948,Corporate,East,Technology,Desk,9342.26,8,4236.95,2022,4,April
ORD100033,2023-12-19,CUST7544,Consumer,East,Technology,Printer,3206.88,9,4128.7,2023,12,December
ORD100034,2022-05-26,CUST3045,Corporate,East,Technology,Printer,2207.78,7,3276.84,2022,5,May
ORD100035,2022-12-01,CUST2627,Consumer,Central,Technology,Laptop,280.79,4,909.46,2022,12,December
ORD100036,2023-09-03,CUST2488,Consumer,South,Office Supplies,Desk,9151.51,12,-741.5,2023,9,September
ORD100037,2021-07-09,CUST4563,Home Office,West,Furniture,Tablet,13863.23,6,-1078.56,2021,7,July
ORD100038,2023-08-16,CUST2802,Consumer,Central,Office Supplies,Pen,10225.58,11,2959.06,2023,8,August
ORD100039,2022-11-18,CUST4591,Corporate,South,Technology,Chair,9782.7,11,3449.49,2022,11,November
ORD100040,2023-08-16,CUST4520,Consumer,South,Technology,Phone,8011.99,2,2564.63,2023,8,August
ORD100041,2022-07-17,CUST6896,Consumer,West,Technology,Monitor,9291.23,7,2009.43,2022,7,July
ORD100042,2024-06-21,CUST8643,Consumer,West,Office Supplies,Desk,10861.47,6,2127.52,2024,6,June
ORD100043,2023-04-12,CUST8041,Consumer,West,Office Supplies,Pen,2310.12,12,-1541.76,2023,4,April
ORD100044,2024-02-29,CUST4311,Consumer,Central,Furniture,Phone,10968.87,4,-23.6,2024,2,February
ORD100045,2022-10-09,CUST3305,Consumer,West,Furniture,Tablet,2370.82,3,-806.99,2022,10,October
ORD100046,2021-01-21,CUST8875,Consumer,West,Furniture,Pen,4450.88,12,1181.36,2021,1,January
ORD100047,2023-04-21,CUST2967,Consumer,Central,Office Supplies,Printer,5122.84,6,-1457.89,2023,4,April
ORD100048,2021-06-16,CUST9009,Home Office,West,Technology,Chair,4319.96,8,315.62,2021,6,June
ORD100049,2024-07-21,CUST6462,Consumer,West,Office Supplies,Tablet,7892.65,8,4129.31,2024,7,July
ORD100050,2022-01-23,CUST7897,Corporate,Central,Technology,Monitor,8349.41,8,-1313.29,2022,1,January
ORD100051,2022-08-24,CUST4458,Consumer,South,Technology,Phone,12302.63,9,1957.4,2022,8,August
ORD100052,2021-11-12,CUST9585,Home Office,West,Furniture,Chair,8678.58,4,-165.01,2021,11,November
ORD100053,2021-01-14,CUST5778,Consumer,West,Furniture,Chair,14946.99,12,596.41,2021,1,January
ORD100054,2021-08-30,CUST4730,Consumer,Central,Furniture,Laptop,10437.63,8,97.74,2021,8,August
ORD100055,2023-02-16,CUST5365,Consumer,East,Technology,Printer,10957.36,9,-1564.13,2023,2,February
ORD100056,2024-10-01,CUST8547,Consumer,West,Office Supplies,Desk,14967.26,1,-1516.03,2024,10,October
ORD100057,2022-07-19,CUST1027,Home Office,South,Office Supplies,Laptop,3550.64,12,1288.35,2022,7,July
ORD100058,2023-06-17,CUST4491,Consumer,South,Furniture,Tablet,9718.12,10,3928.09,2023,6,June
ORD100059,2024-09-25,CUST7423,Home Office,Central,Technology,Monitor,13325.1,3,4526.93,2024,9,September
ORD100060,2021-04-02,CUST6301,Home Office,West,Technology,Laptop,14520.72,9,-415.62,2021,4,April
ORD100061,2024-10-22,CUST7160,Consumer,Central,Office Supplies,Chair,6725.27,4,4282.33,2024,10,October
ORD100062,2023-08-14,CUST2173,Consumer,East,Furniture,Chair,6491.72,13,-1663.62,2023,8,August
ORD100063,2024-12-22,CUST1338,Home Office,East,Furniture,Pen,1466.34,10,3879.81,2024,12,December
ORD100064,2022-05-24,CUST1841,Consumer,East,Office Supplies,Pen,13568.53,3,1848.11,2022,5,May
ORD100065,2023-02-15,CUST1293,Corporate,East,Technology,Printer,14054.58,7,-1395.82,2023,2,February
ORD100066,2021-02-04,CUST7558,Home Office,East,Office Supplies,Printer,13273.48,2,-1461.21,2021,2,February
ORD100067,2021-07-25,CUST2647,Corporate,West,Furniture,Desk,3419.27,7,-1004.46,2021,7,July
ORD100068,2024-01-10,CUST5898,Corporate,East,Furniture,Laptop,4560.51,9,-1662.76,2024,1,January
ORD100069,2024-11-12,CUST5526,Home Office,Central,Technology,Chair,14228.8,7,2947.68,2024,11,November
ORD100070,2023-10-23,CUST6614,Corporate,South,Office Supplies,Chair,9232.5,6,2315.14,2023,10,October
ORD100071,2023-10-19,CUST4801,Consumer,West,Technology,Tablet,9503.62,1,3871.03,2023,10,October
ORD100072,2024-11-14,CUST9280,Consumer,South,Technology,Printer,6284.23,3,1401.77,2024,11,November
ORD100073,2022-07-20,CUST8376,Corporate,West,Technology,Pen,9247.41,4,2082.49,2022,7,July
ORD100074,2024-02-04,CUST1899,Home Office,South,Technology,Phone,2449.82,9,-993.87,2024,2,February
ORD100075,2022-12-04,CUST4477,Corporate,East,Furniture,Desk,14242.99,7,1647.21,2022,12,December
ORD100076,2022-02-06,CUST2744,Corporate,Central,Technology,Phone,14185.73,5,205.76,2022,2,February
ORD100077,2022-12-31,CUST7096,Consumer,South,Technology,Laptop,12863.94,13,1159.42,2022,12,December
ORD100078,2021-06-11,CUST3253,Home Office,South,Furniture,Monitor,3877.07,7,3856.98,2021,6,June
ORD100079,2021-07-21,CUST2633,Consumer,South,Furniture,Printer,13146.33,4,2702.21,2021,7,July
ORD100080,2023-09-23,CUST8001,Corporate,West,Technology,Pen,10516.72,8,-1573.93,2023,9,September
ORD100081,2021-09-27,CUST8020,Home Office,East,Technology,Pen,3730.98,5,4711.85,2021,9,September
ORD100082,2023-03-27,CUST9149,Consumer,East,Technology,Laptop,12538.2,13,-197.86,2023,3,March
ORD100083,2024-07-18,CUST5701,Home Office,South,Office Supplies,Monitor,1409.65,6,1214.76,2024,7,July
ORD100084,2022-04-01,CUST7735,Home Office,West,Furniture,Laptop,10770.56,10,1286.44,2022,4,April
ORD100085,2024-06-29,CUST2013,Home Office,East,Office Supplies,Phone,14961.41,10,2537.94,2024,6,June
ORD100086,2023-10-14,CUST4299,Consumer,Central,Technology,Printer,6495.16,7,3913.6,2023,10,October
ORD100087,2021-10-23,CUST2506,Consumer,West,Furniture,Tablet,9343.39,13,-23.77,2021,10,October
ORD100088,2022-12-21,CUST5803,Corporate,East,Furniture,Laptop,3286.04,5,64.31,2022,12,December
ORD100089,2021-12-04,CUST1977,Consumer,West,Technology,Chair,7024.38,5,-441.23,2021,12,December
ORD100090,2023-05-29,CUST2817,Consumer,Central,Furniture,Monitor,1668.13,5,3319.49,2023,5,May
ORD100091,2023-12-13,CUST5901,Home Office,East,Furniture,Pen,10445.92,9,2453.7,2023,12,December
ORD100092,2023-03-03,CUST7798,Corporate,East,Furniture,Monitor,11602.8,12,-531.38,2023,3,March
ORD100093,2021-08-05,CUST1473,Consumer,South,Technology,Pen,8845.85,1,1128.05,2021,8,August
ORD100094,2023-02-03,CUST1567,Consumer,Central,Technology,Chair,11129.4,11,841.92,2023,2,February
ORD100095,2021-07-07,CUST8966,Corporate,East,Furniture,Desk,10362.91,11,1761.49,2021,7,July
ORD100096,2022-01-15,CUST3258,Home Office,Central,Office Supplies,Desk,13847.93,4,3748.07,2022,1,January
ORD100097,2022-05-08,CUST9120,Consumer,Central,Furniture,Tablet,7204.37,8,4247.82,2022,5,May
ORD100098,2023-12-01,CUST5310,Consumer,Central,Furniture,Monitor,8099.49,4,-477.95,2023,12,December
ORD100099,2024-03-26,CUST2982,Corporate,East,Technology,Laptop,5613.76,5,2221.22,2024,3,March
ORD100100,2021-01-15,CUST2096,Consumer,East,Office Supplies,Phone,5324.94,4,3617.18,2021,1,January
ORD100101,2021-03-06,CUST7610,Consumer,East,Furniture,Printer,12275.3,8,-1039.45,2021,3,March
ORD100102,2022-06-05,CUST4570,Corporate,East,Office Supplies,Desk,13936.6,5,389.57,2022,6,June
ORD100103,2024-09-29,CUST7497,Consumer,East,Technology,Phone,4680.88,6,-870.84,2024,9,September
ORD100104,2024-02-27,CUST4646,Corporate,South,Technology,Printer,6319.41,9,638.31,2024,2,February
ORD100105,2022-10-10,CUST3419,Home Office,East,Technology,Tablet,5317.12,8,-1707.46,2022,10,October
ORD100106,2023-12-23,CUST5279,Consumer,Central,Technology,Printer,12827.02,3,1458.2,2023,12,December
ORD100107,2024-03-08,CUST1673,Home Office,South,Technology,Desk,14219.67,10,4975.65,2024,3,March
ORD100108,2022-08-16,CUST3802,Home Office,South,Furniture,Tablet,13534.81,1,4125.39,2022,8,August
ORD100109,2022-01-27,CUST8312,Corporate,West,Furniture,Tablet,247.69,11,1561.66,2022,1,January
ORD100110,2022-02-23,CUST3369,Consumer,Central,Technology,Printer,2632.43,6,2109.36,2022,2,February
ORD100111,2021-10-16,CUST5530,Home Office,South,Office Supplies,Tablet,13432.72,10,3376.59,2021,10,October
ORD100112,2022-01-14,CUST2066,Home Office,Central,Technology,Laptop,7902.17,2,-376.03,2022,1,January
ORD100113,2021-08-19,CUST6432,Consumer,South,Technology,Chair,5693.36,12,1847.6,2021,8,August
ORD100114,2023-10-15,CUST9073,Corporate,Central,Technology,Tablet,6133.53,6,1382.33,2023,10,October
ORD100115,2021-02-10,CUST1687,Consumer,East,Furniture,Phone,12370.42,8,691.33,2021,2,February
ORD100116,2023-11-18,CUST1068,Consumer,East,Technology,Phone,12192.78,1,1190.33,2023,11,November
ORD100117,2021-05-15,CUST7774,Consumer,South,Office Supplies,Chair,12431.04,4,3386.57,2021,5,May
ORD100118,2021-07-20,CUST1419,Consumer,South,Furniture,Laptop,12725.36,8,662.86,2021,7,July
ORD100119,2023-02-19,CUST7891,Consumer,West,Furniture,Laptop,1088.28,10,4435.03,2023,2,February
ORD100120,2023-07-19,CUST6593,Consumer,East,Furniture,Pen,11358.3,1,4285.69,2023,7,July
ORD100121,2023-11-23,CUST7104,Home Office,East,Furniture,Chair,9182.79,6,4815.93,2023,11,November
ORD100122,2023-12-08,CUST4892,Home Office,South,Office Supplies,Laptop,3843.26,2,-1549.6,2023,12,December
ORD100123,2022-05-18,CUST1439,Home Office,East,Office Supplies,Desk,8908.6,11,2250.3,2022,5,May
ORD100124,2022-02-11,CUST2208,Consumer,West,Furniture,Printer,10273.68,2,-554.64,2022,2,February
ORD100125,2023-03-16,CUST3563,Corporate,South,Furniture,Phone,8588.24,2,-1438.93,2023,3,March
ORD100126,2021-04-09,CUST8466,Home Office,East,Furniture,Tablet,5321.1,5,1597.5,2021,4,April
ORD100127,2022-11-15,CUST2253,Corporate,Central,Office Supplies,Laptop,3705.44,3,4533.1,2022,11,November
ORD100128,2022-12-27,CUST4209,Consumer,West,Furniture,Monitor,1340.29,3,62.29,2022,12,December
ORD100129,2023-08-19,CUST4549,Consumer,East,Office Supplies,Desk,900.51,7,788.84,2023,8,August
ORD100130,2022-09-05,CUST1614,Home Office,Central,Furniture,Pen,5318.93,3,2778.25,2022,9,September
ORD100131,2022-10-05,CUST4078,Consumer,West,Furniture,Tablet,3586.18,4,4125.64,2022,10,October
ORD100132,2023-10-26,CUST4490,Consumer,East,Furniture,Tablet,7445.68,7,-1285.55,2023,10,October
ORD100133,2024-05-26,CUST4543,Consumer,West,Furniture,Tablet,8476.5,12,2157.26,2024,5,May
ORD100134,2022-05-18,CUST9102,Home Office,Central,Technology,Chair,5725.45,2,-327.26,2022,5,May
ORD100135,2023-02-06,CUST2900,Consumer,South,Furniture,Desk,5733.34,3,3438.41,2023,2,February
ORD100136,2022-02-02,CUST6680,Corporate,Central,Office Supplies,Printer,11238.55,13,-142.39,2022,2,February
ORD100137,2023-05-21,CUST7751,Consumer,East,Furniture,Desk,138.6,8,3092.6,2023,5,May
ORD100138,2023-03-06,CUST6862,Corporate,South,Office Supplies,Phone,14967.27,10,2998.49,2023,3,March
ORD100139,2022-01-28,CUST2712,Corporate,East,Technology,Pen,6642.03,14,4830.93,2022,1,January
ORD100140,2021-07-26,CUST3329,Consumer,Central,Furniture,Monitor,8829.25,8,1461.01,2021,7,July
ORD100141,2023-11-05,CUST2194,Home Office,East,Office Supplies,Tablet,3693.58,11,-882.29,2023,11,November
ORD100142,2023-06-11,CUST7781,Home Office,West,Technology,Printer,3185.12,3,3551.54,2023,6,June
ORD100143,2023-05-14,CUST9162,Consumer,West,Technology,Chair,10108.33,7,3231.0,2023,5,May
ORD100144,2023-01-13,CUST5906,Consumer,East,Office Supplies,Printer,14591.99,12,3956.36,2023,1,January
ORD100145,2024-06-18,CUST2378,Consumer,East,Furniture,Desk,13630.26,3,1910.07,2024,6,June
ORD100146,2022-07-18,CUST1749,Home Office,West,Furniture,Laptop,13980.68,5,2613.0,2022,7,July
ORD100147,2023-10-18,CUST6292,Consumer,South,Technology,Laptop,7646.42,3,4743.63,2023,10,October
ORD100148,2021-04-06,CUST1300,Consumer,South,Furniture,Printer,5416.17,5,-1887.56,2021,4,April
ORD100149,2022-04-30,CUST5695,Consumer,South,Furniture,Tablet,11500.23,2,2675.36,2022,4,April
ORD100150,2024-12-01,CUST5624,Consumer,Central,Technology,Tablet,8155.83,12,1222.74,2024,12,December
ORD100151,2021-08-19,CUST4837,Consumer,West,Technology,Phone,12206.08,11,877.96,2021,8,August
ORD100152,2023-01-19,CUST1277,Corporate,Central,Furniture,Monitor,10499.46,10,90.95,2023,1,January
ORD100153,2024-04-09,CUST4917,Consumer,Central,Furniture,Tablet,5488.07,3,3081.52,2024,4,April
ORD100154,2022-06-25,CUST8307,Home Office,Central,Technology,Printer,1072.12,11,-1194.06,2022,6,June
ORD100155,2023-11-26,CUST3161,Home Office,West,Furniture,Tablet,4457.42,9,-395.23,2023,11,November
ORD100156,2022-06-09,CUST2389,Consumer,West,Furniture,Pen,12468.26,1,248.81,2022,6,June
ORD100157,2024-03-29,CUST9882,Corporate,West,Office Supplies,Desk,6948.1,4,-581.42,2024,3,March
ORD100158,2024-06-20,CUST5732,Corporate,West,Office Supplies,Printer,12330.95,12,-978.72,2024,6,June
ORD100159,2024-01-15,CUST4468,Corporate,East,Office Supplies,Laptop,10481.67,14,1398.49,2024,1,January
ORD100160,2022-08-01,CUST7141,Consumer,South,Technology,Chair,4668.52,2,-1172.33,2022,8,August
ORD100161,2022-11-13,CUST6969,Consumer,West,Furniture,Phone,6645.65,2,147.96,2022,11,November
ORD100162,2022-07-11,CUST4816,Home Office,Central,Technology,Desk,9868.79,9,4351.66,2022,7,July
ORD100163,2023-10-10,CUST6037,Consumer,West,Technology,Pen,13163.3,5,1824.12,2023,10,October
ORD100164,2022-10-08,CUST6994,Corporate,Central,Furniture,Desk,639.6,8,1635.66,2022,10,October
ORD100165,2023-03-07,CUST3451,Corporate,East,Technology,Laptop,14881.97,5,3675.67,2023,3,March
ORD100166,2023-11-18,CUST1024,Consumer,East,Technology,Desk,6142.01,5,2836.82,2023,11,November
ORD100167,2024-09-25,CUST6962,Corporate,West,Office Supplies,Pen,1993.45,7,545.11,2024,9,September
ORD100168,2024-09-16,CUST3556,Home Office,West,Technology,Monitor,5002.17,1,-1058.99,2024,9,September
ORD100169,2024-10-03,CUST8632,Consumer,West,Office Supplies,Pen,11946.5,12,3267.2,2024,10,October
ORD100170,2024-06-08,CUST1060,Home Office,South,Office Supplies,Chair,8635.54,7,-1224.17,2024,6,June
ORD100171,2021-07-09,CUST8675,Consumer,East,Office Supplies,Tablet,1707.03,13,139.05,2021,7,July
ORD100172,2024-06-02,CUST1122,Home Office,West,Technology,Desk,5854.82,13,3442.64,2024,6,June
ORD100173,2024-11-09,CUST6616,Corporate,East,Office Supplies,Chair,879.16,4,2933.08,2024,11,November
ORD100174,2024-11-01,CUST2186,Corporate,West,Furniture,Printer,1047.26,6,3916.02,2024,11,November
ORD100175,2024-07-30,CUST6158,Consumer,Central,Furniture,Chair,3351.49,2,2234.29,2024,7,July
ORD100176,2022-09-25,CUST8864,Consumer,South,Technology,Printer,5300.94,11,2378.4,2022,9,September
ORD100177,2022-09-20,CUST5089,Home Office,Central,Technology,Tablet,10413.48,11,1476.07,2022,9,September
ORD100178,2023-08-31,CUST3472,Consumer,South,Technology,Printer,305.09,12,134.45,2023,8,August
ORD100179,2024-07-06,CUST8450,Corporate,East,Office Supplies,Printer,4763.31,2,1410.01,2024,7,July
ORD100180,2024-10-14,CUST3964,Home Office,East,Furniture,Laptop,5394.78,8,-1166.97,2024,10,October
ORD100181,2022-12-11,CUST9104,Consumer,South,Technology,Phone,4678.58,14,4958.28,2022,12,December
ORD100182,2024-12-05,CUST2310,Consumer,Central,Furniture,Pen,2177.32,12,401.12,2024,12,December
ORD100183,2022-10-11,CUST9346,Home Office,South,Office Supplies,Printer,12919.76,9,3996.32,2022,10,October
ORD100184,2021-11-14,CUST3212,Home Office,East,Furniture,Phone,4851.9,13,4376.27,2021,11,November
ORD100185,2024-06-02,CUST7792,Consumer,West,Office Supplies,Desk,12674.83,11,-1810.4,2024,6,June
ORD100186,2024-06-11,CUST9703,Corporate,East,Technology,Laptop,2890.19,8,2175.8,2024,6,June
ORD100187,2022-11-15,CUST9378,Home Office,South,Furniture,Printer,10854.63,10,3977.51,2022,11,November
ORD100188,2022-10-26,CUST2845,Consumer,South,Furniture,Printer,3048.24,5,1062.22,2022,10,October
ORD100189,2024-10-29,CUST8660,Consumer,South,Technology,Pen,5167.09,12,-1575.04,2024,10,October
ORD100190,2024-06-10,CUST2702,Corporate,West,Office Supplies,Laptop,10177.73,1,680.46,2024,6,June
ORD100191,2024-02-11,CUST1390,Consumer,West,Office Supplies,Tablet,8242.63,3,-71.37,2024,2,February
ORD100192,2022-03-18,CUST1654,Corporate,West,Furniture,Laptop,4037.57,12,4209.99,2022,3,March
ORD100193,2022-07-18,CUST6835,Corporate,Central,Technology,Phone,13225.22,2,2662.98,2022,7,July
ORD100194,2024-07-15,CUST5271,Consumer,West,Furniture,Chair,7113.73,4,-177.95,2024,7,July
ORD100195,2024-11-10,CUST9955,Home Office,West,Furniture,Desk,11837.15,9,3636.89,2024,11,November
ORD100196,2024-11-11,CUST4400,Consumer,West,Technology,Pen,12938.81,9,1561.06,2024,11,November
ORD100197,2024-02-11,CUST6319,Consumer,Central,Technology,Tablet,6776.67,9,4127.99,2024,2,February
ORD100198,2023-08-10,CUST7732,Consumer,South,Technology,Phone,5029.33,9,3608.56,2023,8,August
ORD100199,2024-01-10,CUST7674,Home Office,South,Office Supplies,Chair,8324.15,12,2656.74,2024,1,January
ORD100200,2022-11-30,CUST2085,Consumer,East,Furniture,Chair,1282.65,13,-1192.73,2022,11,November
ORD100201,2021-04-23,CUST6446,Consumer,East,Technology,Desk,10272.64,3,2217.85,2021,4,April
ORD100202,2021-01-02,CUST5376,Home Office,West,Furniture,Phone,11327.26,3,2314.54,2021,1,January
ORD100203,2022-10-04,CUST2963,Home Office,West,Technology,Monitor,1637.15,7,3710.59,2022,10,October
ORD100204,2021-08-08,CUST6177,Consumer,Central,Technology,Pen,4479.12,8,-712.51,2021,8,August
ORD100205,2023-05-05,CUST5572,Consumer,South,Technology,Phone,11517.2,6,2269.34,2023,5,May
ORD100206,2024-06-02,CUST8543,Corporate,South,Office Supplies,Tablet,4780.97,13,3794.67,2024,6,June
ORD100207,2022-01-20,CUST9907,Corporate,West,Office Supplies,Phone,9231.41,2,-1874.7,2022,1,January
ORD100208,2024-11-27,CUST1242,Home Office,West,Technology,Tablet,9036.35,10,2288.94,2024,11,November
ORD100209,2024-02-28,CUST7510,Consumer,West,Furniture,Desk,3926.77,10,3703.43,2024,2,February
ORD100210,2023-12-13,CUST4915,Consumer,South,Technology,Pen,11497.75,5,1155.3,2023,12,December
ORD100211,2022-12-31,CUST1837,Corporate,Central,Office Supplies,Monitor,7435.7,8,-662.17,2022,12,December
ORD100212,2024-12-10,CUST4323,Corporate,Central,Technology,Printer,1846.48,7,3487.79,2024,12,December
ORD100213,2021-09-04,CUST3953,Corporate,Central,Furniture,Phone,1571.08,12,-1371.17,2021,9,September
ORD100214,2023-04-16,CUST2432,Home Office,West,Furniture,Laptop,13764.53,11,1734.15,2023,4,April
ORD100215,2021-07-22,CUST7854,Corporate,South,Furniture,Printer,5762.96,7,-1955.86,2021,7,July
ORD100216,2024-04-22,CUST8655,Consumer,East,Technology,Tablet,8332.13,7,1301.31,2024,4,April
ORD100217,2021-05-03,CUST9431,Corporate,West,Furniture,Printer,9630.91,7,4277.64,2021,5,May
ORD100218,2022-02-05,CUST9330,Consumer,South,Office Supplies,Printer,10874.42,4,4511.8,2022,2,February
ORD100219,2023-02-06,CUST9611,Consumer,West,Technology,Desk,6227.93,3,-857.91,2023,2,February
ORD100220,2021-10-21,CUST1303,Home Office,South,Office Supplies,Pen,7347.48,3,2340.44,2021,10,October
ORD100221,2021-10-07,CUST3162,Corporate,South,Office Supplies,Printer,10973.46,10,-1611.5,2021,10,October
ORD100222,2023-06-03,CUST7486,Consumer,Central,Technology,Laptop,9886.53,7,2764.04,2023,6,June
ORD100223,2021-07-17,CUST5102,Consumer,West,Office Supplies,Printer,9283.37,1,3367.94,2021,7,July
ORD100224,2023-09-09,CUST7874,Consumer,South,Technology,Chair,5849.18,14,1206.37,2023,9,September
ORD100225,2023-01-22,CUST2168,Consumer,East,Technology,Chair,14487.35,2,977.71,2023,1,January
ORD100226,2021-05-24,CUST1415,Corporate,Central,Furniture,Desk,2808.78,9,1845.42,2021,5,May
ORD100227,2022-09-01,CUST6243,Corporate,South,Office Supplies,Phone,1793.39,3,52.58,2022,9,September
ORD100228,2024-05-09,CUST1149,Consumer,West,Furniture,Phone,4324.4,14,1368.15,2024,5,May
ORD100229,2024-02-22,CUST7524,Consumer,East,Furniture,Laptop,3811.4,12,4094.04,2024,2,February
ORD100230,2021-07-06,CUST6899,Consumer,South,Furniture,Desk,14414.74,9,-1220.02,2021,7,July
ORD100231,2024-09-11,CUST1838,Consumer,South,Office Supplies,Monitor,175.15,12,1850.26,2024,9,September
ORD100232,2022-04-09,CUST7144,Consumer,Central,Furniture,Desk,13207.39,4,219.83,2022,4,April
ORD100233,2024-10-04,CUST8466,Home Office,South,Technology,Monitor,6125.22,7,3326.68,2024,10,October
ORD100234,2022-10-22,CUST2320,Corporate,Central,Furniture,Desk,8533.47,4,356.65,2022,10,October
ORD100235,2023-02-03,CUST2523,Home Office,Central,Technology,Phone,10418.52,3,3570.24,2023,2,February
ORD100236,2023-08-13,CUST6234,Corporate,East,Furniture,Printer,721.79,14,777.66,2023,8,August
ORD100237,2022-02-07,CUST7144,Corporate,West,Office Supplies,Pen,7786.72,4,2331.34,2022,2,February
ORD100238,2024-10-01,CUST1552,Consumer,Central,Technology,Pen,642.26,4,2901.65,2024,10,October
ORD100239,2021-05-27,CUST4756,Consumer,West,Technology,Laptop,1519.59,6,247.02,2021,5,May
ORD100240,2024-03-17,CUST4671,Corporate,Central,Furniture,Printer,9429.52,12,935.32,2024,3,March
ORD100241,2023-05-14,CUST1481,Consumer,South,Office Supplies,Tablet,4159.4,14,3901.59,2023,5,May
ORD100242,2022-05-04,CUST1599,Corporate,West,Office Supplies,Phone,2176.02,11,1092.94,2022,5,May
ORD100243,2023-07-18,CUST8677,Consumer,South,Furniture,Pen,790.42,3,1278.7,2023,7,July
ORD100244,2022-07-05,CUST2982,Home Office,East,Furniture,Chair,12071.04,8,2090.2,2022,7,July
ORD100245,2021-12-04,CUST2634,Consumer,South,Office Supplies,Phone,9516.35,12,3470.96,2021,12,December
ORD100246,2023-05-22,CUST8830,Consumer,East,Office Supplies,Phone,530.1,1,-1506.61,2023,5,May
ORD100247,2022-10-03,CUST3997,Home Office,West,Furniture,Desk,9522.95,7,2188.53,2022,10,October
ORD100248,2022-04-18,CUST1686,Consumer,West,Technology,Phone,1592.1,9,4053.19,2022,4,April
ORD100249,2021-05-31,CUST6529,Home Office,Central,Furniture,Pen,4945.37,7,359.86,2021,5,May
ORD100250,2024-12-09,CUST2759,Consumer,South,Office Supplies,Phone,9915.76,8,2788.18,2024,12,December
ORD100251,2024-08-14,CUST8023,Corporate,West,Furniture,Desk,4307.08,7,-196.34,2024,8,August
ORD100252,2021-09-20,CUST7208,Consumer,East,Office Supplies,Printer,11386.2,11,-1241.58,2021,9,September
